id,url_token,name,use_default_avatar,avatar_url,avatar_url_template,is_org,type,url,user_type,headline,gender,is_advertiser,vip_info,badge,is_following,is_followed,follower_count,answer_count,articles_count
9e80e702bf53e70138ba3e1c43835907,chairman-10-21,Chairman,False,https://pic4.zhimg.com/v2-fbbb97677990592382814a0cc7499a29_is.jpg,https://pic4.zhimg.com/v2-fbbb97677990592382814a0cc7499a29_{size}.jpg,False,people,https://www.zhihu.com/people/chairman-10-21,people,审核员,1,False,"{'is_vip': False, 'rename_days': '60'}",[],False,False,0,0,0
7bf9179ab240ccc074d160cb437cb90e,huang-zuo-jian,洛河以南,False,https://pic2.zhimg.com/v2-78ee7e0a343d5a3e927f1f9bd5580527_is.jpg,https://pic2.zhimg.com/v2-78ee7e0a343d5a3e927f1f9bd5580527_{size}.jpg,False,people,https://www.zhihu.com/people/huang-zuo-jian,people,不能把这个世界，让给你你所厌恶的人,1,False,"{'is_vip': False, 'rename_days': '60'}",[],False,False,0,7,0
77c8128edbd1582529f6253973b73af1,li-zhi-qiang-50-29,手撕花包菜,False,https://pic2.zhimg.com/v2-09836f9fc2c918a9e13de8917a162d8d_is.jpg,https://pic2.zhimg.com/v2-09836f9fc2c918a9e13de8917a162d8d_{size}.jpg,False,people,https://www.zhihu.com/people/li-zhi-qiang-50-29,people,工科救不了国,1,False,"{'is_vip': False, 'rename_days': '60'}",[],False,False,4,0,0
ff8240d074422771dc4c920b87448dc5,roywcc,roywcc,True,https://pic4.zhimg.com/da8e974dc_is.jpg,https://pic4.zhimg.com/da8e974dc_{size}.jpg,False,people,https://www.zhihu.com/people/roywcc,people,,-1,False,"{'is_vip': False, 'rename_days': '60'}",[],False,False,0,0,0
562de9a0db8906f1a819a9709e973c94,hai-dao-chuan-duo-gong-5824,霹雳兔小尘,False,https://pic1.zhimg.com/v2-ce8d684cb8ef98e90b2a010558a79ea5_is.jpg,https://pic1.zhimg.com/v2-ce8d684cb8ef98e90b2a010558a79ea5_{size}.jpg,False,people,https://www.zhihu.com/people/hai-dao-chuan-duo-gong-5824,people,人生旅行家,0,False,"{'is_vip': False, 'rename_days': '60'}",[],False,False,0,2,0
1bce6e2c22cad8ea5d671bdc22ac7784,yixiao-kuai-shen-jing-bing,一小块深井冰,False,https://pic3.zhimg.com/06ce80302f819f0c2c485ecc8f258cea_is.jpg,https://pic3.zhimg.com/06ce80302f819f0c2c485ecc8f258cea_{size}.jpg,False,people,https://www.zhihu.com/people/yixiao-kuai-shen-jing-bing,people,在医疗投资的路上刚刚开始。,1,False,"{'is_vip': False, 'rename_days': '60'}",[],False,False,252,5,0
5f2463843e1d8485199fe01fe676f90f,yang-hao-lei-93-1,神仙人掌,False,https://pic3.zhimg.com/v2-094401bed84f87fdecc50173b96a65ca_is.jpg,https://pic3.zhimg.com/v2-094401bed84f87fdecc50173b96a65ca_{size}.jpg,False,people,https://www.zhihu.com/people/yang-hao-lei-93-1,people,蠢材一个,1,False,"{'is_vip': False, 'rename_days': '60'}",[],False,False,2,9,0
460a14165e72565e9bd70e457cebf180,liu-ying-qi-73,刘英琪,False,https://pic1.zhimg.com/v2-03b42d62450ffcb05428b958512bea22_is.jpg,https://pic1.zhimg.com/v2-03b42d62450ffcb05428b958512bea22_{size}.jpg,False,people,https://www.zhihu.com/people/liu-ying-qi-73,people,,-1,False,"{'is_vip': False, 'rename_days': '60'}",[],False,False,0,0,0
5c816c5330f9d9615aac67c77e368570,bnb-tdm,BNB TDM,False,https://pic2.zhimg.com/v2-47229ff055e2bc1ee11f2d1e3de58ecc_is.jpg,https://pic2.zhimg.com/v2-47229ff055e2bc1ee11f2d1e3de58ecc_{size}.jpg,False,people,https://www.zhihu.com/people/bnb-tdm,people,,-1,False,"{'is_vip': False, 'rename_days': '60'}",[],False,False,0,0,0
717cc57aa00393bb0aaf569f8c6f531c,zhang-yue-74-9,孙米,False,https://pic2.zhimg.com/v2-1255ba684ea1559ff408957f99c4541b_is.jpg,https://pic2.zhimg.com/v2-1255ba684ea1559ff408957f99c4541b_{size}.jpg,False,people,https://www.zhihu.com/people/zhang-yue-74-9,people,厚德载物,1,False,"{'is_vip': False, 'rename_days': '60'}",[],False,False,21,17,0
